id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
342,,,,DRUG-LOADED NANOPARTICLES - PREPARATION METHODS AND DRUG TARGETING ISSUES,"ALLEMANN, E; GURNY, R; DOELKER, E",1993,,345
343,,,,BLOCK-COPOLYMER MICELLES AS VEHICLES FOR DRUG DELIVERY,"KATAOKA, K; KWON, GS; YOKOYAMA, M; OKANO, T; SAKURAI, Y",1993,,621
344,,,10.1002/jps.1143.abs,Gastrointestinal persorption and tissue distribution of differently sized colloidal gold nanoparticles,"Hillyer, JF; Albrecht, RM",2001,,282
345,,,10.1016/0142-9612(92)90128-b,PREVENTION OF PROTEIN ADSORPTION AND PLATELET-ADHESION ON SURFACES BY PEO PPO PEO TRIBLOCK COPOLYMERS,"AMIJI, M; PARK, K",1992,,279
346,,,10.1039/b406189f,Preparation of primary amine-modified gold nanoparticles and their transfection ability into cultivated cells,"Niidome, T; Nakashima, K; Takahashi, H; Niidome, Y",2004,,112
347,,,10.1021/ie060672j,Modeling of formation of gold nanoparticles by citrate method,"Kumar, Sanjeev; Gandhi, K. S.; Kumar, R.",2007,,138
348,,,,NANOPARTICLES IN DRUG DELIVERY,"DOUGLAS, SJ; DAVIS, SS; ILLUM, L",1987,,150
349,,,10.1021/jp0209289,"Photophysical, photochemical and photocatalytic aspects of metal nanoparticles","Kamat, PV",2002,,1370
350,,,,"CYTOCHALASIN-D AND CYTOCHALASIN-E - EFFECTS ON FIBRINOGEN RECEPTOR MOVEMENT AND CYTOSKELETAL REORGANIZATION IN FULLY SPREAD, SURFACE-ACTIVATED PLATELETS - A CORRELATIVE LIGHT AND ELECTRON-MICROSCOPIC INVESTIGATION","OLORUNDARE, OE; SIMMONS, None; ALBRECHT, RM",1992,,46
351,,,10.1002/1439-7641(20000804)1:1<18::aid-cphc18>3.0.co;2-l,"Nanoparticle arrays on surfaces for electronic, optical, and sensor applications","Shipway, AN; Katz, E; Willner, None",2000,,1694
352,,,10.1016/s0169-409x(96)00401-2,Polymeric micelles as new drug carriers,"Kwon, GS; Okano, T",1996,,443
353,,,10.1016/j.saa.2004.10.035,"A study on the sizes and concentrations of gold nanoparticles by spectra of absorption, resonance Rayleigh scattering and resonance non-linear scattering","He, YQ; Liu, SP; Kong, L; Liu, ZF",2005,,106
354,,,,Robust prediction of network traffic using quantile regression models,"Wu, Wei Biao; Xu, Zhiwei; Wang, Yu",2006,,0
355,,,10.1080/10485252.2012.688826,Design-adaptive nonparametric estimation of conditional quantile derivatives,"Goh, S. C.",2012,,1
356,,,10.1007/s10687-015-0232-2,Averaged extreme regression quantile,"Jureckova, Jana",2016,,0
357,,,10.1080/02331888.2012.719520,Robust estimation for functional coefficient regression models with spatial data,"Tang, Qingguo",2014,,1
358,,,,EEX Base and Peak Load One-Year Forward Contracts: Stochastic Volatility,"Solibakke, Per Bjarte",2009,,0
359,,,10.1111/j.1751-5823.2000.tb00330.x,Microsimulation of business performance,"Kokic, P; Chambers, R; Beare, S",2000,,5
360,,,10.1016/s0378-3758(03)00113-7,M-estimation in linear models under nonstandard conditions,"El Bantli, F",2004,,2
361,,,10.1007/bf00773468,RELATING QUANTILES AND EXPECTILES UNDER WEIGHTED-SYMMETRY,"ABDOUS, B; REMILLARD, B",1995,,10
362,,,,"Study on Mechanism of Resource Constraints, Technology Spillovers and Economic Growth-Based upon the Perspective of Trade Liberalization","Zheng Yong-jie, None; Qi Zhong-ying, None; Yang Rui-rui, None",2012,,0
363,,,10.2307/2685149,A NOTE ON ASYMMETRY AND ROBUSTNESS IN LINEAR-REGRESSION,"CARROLL, RJ; WELSH, AH",1988,,35
364,,,10.1007/s11222-014-9480-2,Variational approximations in geoadditive latent Gaussian regression: mean and quantile regression,"Waldmann, Elisabeth; Kneib, Thomas",2015,,1
365,,,10.1080/03610910802233920,Estimating LAD regression coefficients with best subset points,"Choi, Hyun Jip",2008,,0
